index,player_name,player_id
1,Victor Wembanyama,1641705
2,Nikola Jokić,203999
3,Shai Gilgeous-Alexander,1628983
4,Luka Dončić,1629029
5,Cade Cunningham,1630595
6,Jayson Tatum,1628369
7,Giannis Antetokounmpo,203507
8,Tyrese Maxey,1630178
9,Tyrese Haliburton,1630169
10,Anthony Edwards,1630162
11,Donovan Mitchell,1628378
12,Jalen Johnson,1630552
13,Cooper Flagg,1642843
14,Scottie Barnes,1630567
15,Kevin Durant,201142
16,Stephen Curry,201939
17,Karl-Anthony Towns,1626157
18,Jalen Williams,1631114
19,Alperen Sengun,1630578
20,Austin Reaves,1630559
21,Jamal Murray,1627750
22,James Harden,201935
23,LaMelo Ball,1630163
24,Anthony Davis,203076
25,Jalen Brunson,1628973
26,Evan Mobley,1630596
27,Derrick White,1628401
28,Devin Booker,1626164
29,Trey Murphy III,1630530
30,Josh Giddey,1630581
31,Kawhi Leonard,202695
32,Trae Young,1629027
33,Walker Kessler,1631117
34,Amen Thompson,1641708
35,Lauri Markkanen,1628374
36,Chet Holmgren,1631096
37,Bam Adebayo,1628389
38,Kyrie Irving,202681
39,Jalen Duren,1631105
40,Donovan Clingan,1642270
41,Brandon Miller,1641706
42,Deni Avdija,1630166
43,Domantas Sabonis,1627734
44,Jaren Jackson Jr.,1628991
45,Onyeka Okongwu,1630168
46,Dejounte Murray,1627749
47,Jaylen Brown,1627759
48,Desmond Bane,1630217
49,Kon Knueppel,1642851
50,Paolo Banchero,1631094
51,Matas Buzelis,1641824
52,Nickeil Alexander-Walker,1629638
53,Tyler Herro,1629639
54,Darius Garland,1629636
55,Franz Wagner,1630532
56,OG Anunoby,1628384
57,Kel'el Ware,1642276
58,Dyson Daniels,1630700
59,Keyonte George,1641718
60,Cameron Boozer,1643409
61,LeBron James,2544
62,Pascal Siakam,1627783
63,Joel Embiid,203954
64,Paul George,202331
65,Alex Sarr,1642259
66,Stephon Castle,1642264
67,Zach Edey,1641744
68,Ryan Rollins,1631157
69,Damian Lillard,203081
70,Ivica Zubac,1627826
71,Michael Porter Jr.,1629008
72,Naz Reid,1629675
73,Caleb Wilson,1643410
74,Julius Randle,203944
75,Coby White,1629632
76,Myles Turner,1626167
77,Brandon Ingram,1627742
78,De'Aaron Fox,1628368
79,Jaden McDaniels,1630183
80,Payton Pritchard,1630202
81,Jalen Suggs,1630591
82,Immanuel Quickley,1630193
83,Mikal Bridges,1628969
84,Ty Jerome,1629660
85,Ja Morant,1629630
86,Rudy Gobert,203497
87,Norman Powell,1626181
88,Josh Hart,1628404
89,Jarrett Allen,1628386
90,Darryn Peterson,1643408
91,Ausar Thompson,1641709
92,Zion Williamson,1629627
93,Mark Williams,1631109
94,Ayo Dosunmu,1630245
95,VJ Edgecombe,1642845
96,Day'Ron Sharpe,1630549
97,Cedric Coward,1642907
98,Dylan Harper,1642844
99,Derik Queen,1642852
100,Keegan Murray,1631099
101,Nic Claxton,1629651
102,Collin Murray-Boyles,1642867
103,AJ Dybantsa,1643407
104,Toumani Camara,1641739
105,Peyton Watson,1631212
106,Isaiah Hartenstein,1628392
107,CJ McCollum,203468
108,Ajay Mitchell,1642349
109,John Collins,1628381
110,Davion Mitchell,1630558
111,Andrew Wiggins,203952
112,Neemias Queta,1629674
113,Jaime Jaquez Jr.,1631170
114,Miles Bridges,1628970
115,Zach LaVine,203897
116,Fred VanVleet,1627832
117,Jrue Holiday,201950
118,Brandin Podziemski,1641764
119,Kristaps Porziņģis,204001
120,Reed Sheppard,1642263
121,Cason Wallace,1641717
122,Jakob Poeltl,1627751
123,Jusuf Nurkić,203994
124,Kevin Porter Jr.,1629645
125,Kyshawn George,1642273
126,Moussa Diabaté,1631217
127,Jalen Green,1630224
128,Egor Dëmin,1642856
129,Jabari Smith Jr.,1631095
130,Sandro Mamukelashvili,1630572
131,Aaron Gordon,203932
132,Cameron Johnson,1629661
133,Saddiq Bey,1630180
134,Quentin Grimes,1629656
135,Christian Braun,1631128
136,Joan Beringer,1642866
137,Yaxel Lendeborg,1642865
138,Anthony Black,1641710
139,Ace Bailey,1642846
140,RJ Barrett,1629628
141,Jimmy Butler III,202710
142,Jeremiah Fears,1642847
143,DeMar DeRozan,201942
144,Darius Acuff Jr.,1643411
145,Grayson Allen,1628960
146,Maxime Raynaud,1642875
147,Paul Reed,1630194
148,Mikel Brown Jr.,1643414
149,Gui Santos,1630611
150,Devin Vassell,1630170
151,Collin Gillespie,1631221
152,Pelle Larsson,1641796
153,Andrew Nembhard,1629614
154,Tre Jones,1630200
155,Khaman Maluach,1642863
156,Tari Eason,1631106
157,P.J. Washington,1629023
158,Bennedict Mathurin,1631097
159,Scotty Pippen Jr.,1630590
160,Morez Johnson,1643516
161,Keaton Wagler,1643413
162,Herbert Jones,1630529
163,Cam Spencer,1642285
164,Brook Lopez,201572
165,Isaiah Stewart,1630191
166,Wendell Carter Jr.,1628976
167,Hannes Steinbach,1643419
168,Shaedon Sharpe,1631101
